category,description,link,datatype
BLOOD_GLUCOSE_SPECIMEN_SOURCE_CAPILLARY_BLOOD,Glucose was measured in capillary blood.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BLOOD_GLUCOSE_SPECIMEN_SOURCE_CAPILLARY_BLOOD,HealthDataTypes
BLOOD_GLUCOSE_SPECIMEN_SOURCE_INTERSTITIAL_FLUID,Glucose was measured in interstitial fluid.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BLOOD_GLUCOSE_SPECIMEN_SOURCE_INTERSTITIAL_FLUID,HealthDataTypes
BLOOD_GLUCOSE_SPECIMEN_SOURCE_PLASMA,Glucose was measured in plasma.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BLOOD_GLUCOSE_SPECIMEN_SOURCE_PLASMA,HealthDataTypes
BLOOD_GLUCOSE_SPECIMEN_SOURCE_SERUM,Glucose was measured in serum.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BLOOD_GLUCOSE_SPECIMEN_SOURCE_SERUM,HealthDataTypes
BLOOD_GLUCOSE_SPECIMEN_SOURCE_TEARS,Glucose was measured in tears.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BLOOD_GLUCOSE_SPECIMEN_SOURCE_TEARS,HealthDataTypes
BLOOD_GLUCOSE_SPECIMEN_SOURCE_WHOLE_BLOOD,Glucose was measured from whole blood.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BLOOD_GLUCOSE_SPECIMEN_SOURCE_WHOLE_BLOOD,HealthDataTypes
BLOOD_PRESSURE_MEASUREMENT_LOCATION_LEFT_UPPER_ARM,Blood pressure measurement location constant for the left upper arm.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BLOOD_PRESSURE_MEASUREMENT_LOCATION_LEFT_UPPER_ARM,HealthDataTypes
BLOOD_PRESSURE_MEASUREMENT_LOCATION_LEFT_WRIST,Blood pressure measurement location constant for the left wrist.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BLOOD_PRESSURE_MEASUREMENT_LOCATION_LEFT_WRIST,HealthDataTypes
BLOOD_PRESSURE_MEASUREMENT_LOCATION_RIGHT_UPPER_ARM,Blood pressure measurement location constant for the right upper arm.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BLOOD_PRESSURE_MEASUREMENT_LOCATION_RIGHT_UPPER_ARM,HealthDataTypes
BLOOD_PRESSURE_MEASUREMENT_LOCATION_RIGHT_WRIST,Blood pressure measurement location constant for the right wrist.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BLOOD_PRESSURE_MEASUREMENT_LOCATION_RIGHT_WRIST,HealthDataTypes
BODY_POSITION_LYING_DOWN,Body position constant representing lying down.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_POSITION_LYING_DOWN,HealthDataTypes
BODY_POSITION_SEMI_RECUMBENT,Body position constant representing semi-recumbent (partially reclining) pose.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_POSITION_SEMI_RECUMBENT,HealthDataTypes
BODY_POSITION_SITTING,Body position constant representing sitting down.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_POSITION_SITTING,HealthDataTypes
BODY_POSITION_STANDING,Body position constant representing standing up.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_POSITION_STANDING,HealthDataTypes
BODY_TEMPERATURE_MEASUREMENT_LOCATION_AXILLARY,Axillary (armpit) body temperature measurement.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_TEMPERATURE_MEASUREMENT_LOCATION_AXILLARY,HealthDataTypes
BODY_TEMPERATURE_MEASUREMENT_LOCATION_FINGER,Finger body temperature measurement.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_TEMPERATURE_MEASUREMENT_LOCATION_FINGER,HealthDataTypes
BODY_TEMPERATURE_MEASUREMENT_LOCATION_FOREHEAD,Forehead body temperature measurement.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_TEMPERATURE_MEASUREMENT_LOCATION_FOREHEAD,HealthDataTypes
BODY_TEMPERATURE_MEASUREMENT_LOCATION_ORAL,Oral body temperature measurement.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_TEMPERATURE_MEASUREMENT_LOCATION_ORAL,HealthDataTypes
BODY_TEMPERATURE_MEASUREMENT_LOCATION_RECTAL,Rectal body temperature measurement.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_TEMPERATURE_MEASUREMENT_LOCATION_RECTAL,HealthDataTypes
BODY_TEMPERATURE_MEASUREMENT_LOCATION_TEMPORAL_ARTERY,Temporal artery temperature measurement.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_TEMPERATURE_MEASUREMENT_LOCATION_TEMPORAL_ARTERY,HealthDataTypes
BODY_TEMPERATURE_MEASUREMENT_LOCATION_TOE,Toe body temperature measurement.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_TEMPERATURE_MEASUREMENT_LOCATION_TOE,HealthDataTypes
BODY_TEMPERATURE_MEASUREMENT_LOCATION_TYMPANIC,Tympanic (ear) body temperature measurement.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_TEMPERATURE_MEASUREMENT_LOCATION_TYMPANIC,HealthDataTypes
BODY_TEMPERATURE_MEASUREMENT_LOCATION_VAGINAL,Vaginal body temperature measurement.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_TEMPERATURE_MEASUREMENT_LOCATION_VAGINAL,HealthDataTypes
BODY_TEMPERATURE_MEASUREMENT_LOCATION_WRIST,Wrist body temperature measurement.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#BODY_TEMPERATURE_MEASUREMENT_LOCATION_WRIST,HealthDataTypes
CERVICAL_DILATION_CLOSED,Closed cervix.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_DILATION_CLOSED,HealthDataTypes
CERVICAL_DILATION_MEDIUM,Partially open cervix.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_DILATION_MEDIUM,HealthDataTypes
CERVICAL_DILATION_OPEN,Fully open cervix.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_DILATION_OPEN,HealthDataTypes
CERVICAL_FIRMNESS_FIRM,Firm cervical firmness.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_FIRMNESS_FIRM,HealthDataTypes
CERVICAL_FIRMNESS_MEDIUM,Medium cervical firmness.,https://developers.google.com/android/reference/com/google/android/gms/fitness/data/HealthFields#CERVICAL_FIRMNESS_MEDIUM,HealthDataTypes
